Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar block monitor,Calendar conflict detector,Check-in readiness command,Cleaning conflict detector,Daily task coverage board,Guest commitment tracker,Inquiry expiry manager,Maintenance block agent,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access auditor,Translation gap filler,Vacancy task detector,Weekly operations brief,Negative review challenger,Review response master,Saved reply optimizer,Checkout balance collection,Fee configuration detector,Multi-unit fee detector,Security deposit extender,Tax configuration auditor,Unpaid reservation tracker,Advance deposit checker,Cancelled reservation reconciler,Negative owner revenue detector,Realization window auditor,Listing ownership gap finder,Owner payment details collector,Airbnb quality detector,# Active
690bd9fce40ddfabc7419b5b,Roberta Alvarenga,SMB,pro,Guesty Support,,true,,V,V,V,,,,,,,,V,,,V,V,,,,V,V,,,,,,,,V,,,,,,,,9
6362e15264e1de0053681f65,Commendable Rentals LLC,Mid-Market,pro,Rafael Merchán,,true,V,,,V,,,V,,,V,,,,,,,,V,,,V,V,V,,,,,,V,V,V,,,,V,,12
67896fe61e8afb8c9a78c05d,Marshe Properties Limited,SMB,pro,Guesty Support,,true,,V,V,,,,,,,,,,,V,,,,,,V,,,V,,,,,,,,,,,,,,5
605adc31cf90d0002fcdd82b,Upon Arrival Hospitality Management,Mid-Market,pro,Oscar Nomura,,true,,V,V,V,,V,V,V,V,V,V,V,,V,V,V,V,,V,V,V,V,V,,V,V,,,V,V,V,,,,,,24
5971e5a656a254100069b7bb,Hoogmolen Reservations,Mid-Market,pro,Ayman Hazm,,true,,V,V,V,,V,V,V,,,V,V,,,V,V,V,,,V,V,V,V,,V,V,V,V,,,,,,,V,,20
6804253d40918f71a47ae2b9,BNB Collective,Mid-Market,pro,Austen Bernhardt,,true,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
63ac959132a6260056687d2f,Vacation Rental Property Partners,Mid-Market,pro,Tove May,,true,,,V,,,,,,,,,,,,,,,,,V,V,OFF,,,,,,,,,V,,,,V,,5
6908b50032feafcbded99ccb,Kanaloa Realty,SMB,pro,Guesty Support,,true,,,,,,,,,,,,,,,,,,,,,V,V,,,,,,,,,,,,,,,2
69434512d9832ab7012f5009,Liberty Square Residences,SMB,pro,Ramiro Peña,,true,,V,,,,,V,,,,,,,,,,,,,V,V,V,V,,,,,,,,,,,,,,6
69c437c497364dea190fce13,Rebornhost,SMB,pro,Ambar Jenrette,,true,V,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,V,,,V,,,,,V,,V,27
69b9c3a34a4da1c92d8bc2b4,Mia Vacations,Mid-Market,pro,Josue Paredes,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,1
697d08cb663b9035ac4ca73a,Mountain Air Cabins and Real Estate,Mid-Market,pro,Alexandra Laframboise,,true,V,V,V,V,V,V,V,V,,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,,V,V,32
6a108f76ea1059ad753add7b,Hospedou Gestão,SMB,pro,Guesty Support,,true,,,,,,,,,,V,,,,V,,,,,,V,,,,,,,,,,,V,,,,,,4
66f574a17e9f25b06bc4495a,"King Rentals Property Management, LLC",Mid-Market,pro,Michelle Kim,,true,,,,,,,,,,,,,,V,,,,,,,V,,,,,,,,,,,,,,,,2
651eada52f822fb591c4c246,Seaport Vacation Homes,SMB,pro,Oscar Rodriguez,,true,,,,V,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,2
6917ffd3e20d659c1e6bd24b,SAS Cariblink-Optimum,SMB,pro,Audrey Puylaert,,true,,,,,,,,,,,,,,,V,,,,,,,,,,V,,,,,,,,,,,,2
63c8466972ba5900480970b9,Sunwise Bonaire,SME,pro,Cameron Gray,,true,,,V,,,,,,,,,,,,,,,,,,V,V,,,V,,,,V,,,,,,V,,6
69f3d291a36ffdd1068688f7,Boutikia LLC,SMB,pro,Carlos Noriega,,true,,,V,,,,OFF,V,,V,,V,,,V,V,,,,V,V,,,,,,,,V,,,,,,,,9
69271bddf86be762cc819bbb,PMI Lakeshore LLC,Mid-Market,pro,Lionel Glover,,true,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,V,,,,,,,,2
5ae8dc2da5aa780096f99dad,Mike Z Rentals,SME,pro,Tatiana Figueroa,,true,V,V,V,V,,,V,,,,,,,V,,V,,V,,,V,V,V,,,V,,V,V,,V,,V,V,V,V,19
69dfa0489340ba4cbda13684,Novasera Properties,SMB,pro,Daniel Sanchez,,true,,V,V,V,,V,V,,V,V,V,V,,,V,,,,,V,,V,V,,,,,,,,,,,,,,13
6a34f94edf13a890fa85e27d,HelpyHost,SMB,pro,Giorgia Ruocci,,true,,,,,V,,,,V,,,,,V,V,,,,V,,V,V,V,,,,,,,,,,,,V,,9
67b5ffb15b4426a330040368,HOMEHOSTS,Mid-Market,pro,Dana Evans,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,V,,,,,,2
5bfbda3efb3ee10039edf8be,Feliz Stays SA,Mid-Market,pro,Pablo Paez,,true,,V,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5c6dd92ac010cd0021974e8e,Prime Stays,Mid-Market,pro,Courtney Trow,,true,,V,V,,,,V,V,,V,V,V,,,V,V,,,,V,V,V,V,,V,V,V,V,V,,,,,,,,18
5da01d629c3883001f03d5cb,ARCA PROPERTIES,Mid-Market,pro,Rafael Merchán,,true,,V,,V,,,V,,,,V,V,,V,V,V,,,,V,V,V,V,,V,,,,V,,,,,,,,14
6a0e21a7c0da7845a8d92f3f,Lewis Cartwright,SMB,pro,Alejandra Bartrina Soler,,true,,,,V,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
682cacac9bf7f8c07ec240e3,Team YouBnB,SMB,pro,Giorgia Ruocci,,true,,,,,,,V,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,2
6a0a95e47039d420d3367e71,Roombix Company Limited,Mid-Market,pro,Zoe Jiang,,true,V,,V,,,,,V,,,,,,,V,,,V,,,V,,,,,,,,V,,,,,,,V,8
605dc8bcc124b6002cbc9e89,Liiiving,Mid-Market,pro,Rafael Merchán,,true,V,V,V,,,,V,V,,V,V,,,,V,,,V,,V,V,,,,V,,,,,,,,,V,,V,14
685126479bf7f8c07ec24d71,Emilio Alfredo Lodigiani,SMB,pro,Guesty Support,,true,,,,,,,V,V,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,3
660e8f957743b2f17d12d590,Airstay Holiday Homes LLC,Mid-Market,pro,Alexandra Laframboise,,true,,V,,V,,,V,V,,V,,,,,V,,,,V,,V,V,V,,,,,,,,,,,,,,10
69440817b8b21ff79ffcdc03,Mamazul Rentals,SMB,pro,Ramiro Peña,,true,,,V,,,,V,,,,,,,,V,,,,,,V,V,V,,,,,,V,,,,,,,,7
62a4bc94722aee0032ba3c48,Desert Sol Real Estate,SME,pro,Cameron Gray,,true,,V,V,V,,,V,V,,,V,V,,V,V,,V,,V,V,V,V,V,,V,,,V,V,,,,,,,,18
6681e8581d4f0cc576fdd0b6,Punto Paz Rentals,SMB,pro,Tatiana Del Rosario,,true,,,,,,,,,,V,,,,,,,,,,V,,,,,,,,,,,,,,,,,2
684ce68b9bf7f8c07ec24c3f,Apex Hospitality Rentals,SMB,pro,Guesty Support,,true,,V,V,V,V,V,V,V,,V,,,,,,,,,,V,,V,,,V,,,,V,,,,,,,,12
626706c2f8b2800037369161,Gino Liguori,SMB,pro,Carlos Noriega,,true,,,V,,,V,V,V,,,,V,,,V,,,,,,V,V,V,,V,,,V,V,,,,,,,,12
696ffc38b558d35d8ff05eb8,Serena Properties Cabo,SMB,pro,Salome Alvarez,,true,V,,,V,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,3
6797ff557f87dd47600c760a,B&D Florida Property Management LLC,SMB,pro,Oscar Rodriguez,,true,,V,,,,,,,,,,,,,,,,,,,V,V,,,,,,,V,,,,,,,,4
67aa209b5e080b23fd3695eb,Phoenix Hotel,SMB,pro,Guesty Support,,true,,V,,V,,,V,V,,V,,,,,V,,,,V,V,V,V,V,,,,,,,,,,,,,,11
697d0c8c97c71aa6720b0eae,Juniper Holiday and Home,SME,pro,Pablo Paez,,true,V,V,,V,,,V,,,,V,V,,,V,,,,,V,V,V,V,,V,,,,V,V,V,V,V,V,V,V,20
6a4273a3d306ace08f61b618,Guest House Campinas,SMB,pro,Guesty Support,,true,,,,,,,,,,,,,,,,,,,,,V,V,V,,,V,V,,,,,,,,V,,6
63e47327effc07002a67b376,Dynamic Home & Guest LLC,Mid-Market,pro,Alexandra Laframboise,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,1
680c01118822b74b0a2559d9,Retreatime Vacation Rentals LLC,SMB,pro,Zafar Khan,,true,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,2
621d124f705da4003313b2e4,BPM Reservations Team,SME,pro,Pablo Paez,,true,,V,,,,,V,,,,,,,V,V,,,,OFF,V,V,V,,,,,,,V,,,,,,,,8
5de841796f0d08001f52f7a6,Allen Lu,SME,pro,Stacy Wesson,,true,V,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,V,V,V,34
673d0a0e54b397d19ec27184,Prestige Vacation Rentals,Mid-Market,pro,Carlos Villarreal,,true,,,,V,V,,,,,V,,,,,V,,,,,,V,,,,,,,,,,,,,,,,5
636eac638bd5a2003030455c,One Ohana Properties,Mid-Market,pro,Matthew Bonasera,,true,,V,V,V,V,V,V,V,,V,V,V,,V,V,V,V,,V,V,V,V,V,,V,V,,V,V,,V,,,,V,,25
6842e9ad163f7cb57b362067,Stay Texas,SMB,pro,Guesty Support,,true,,V,V,V,V,,,,V,V,V,,,,V,,,,,V,V,V,V,,,,,V,,V,V,,,,V,,16
6818cc3779686af4eacd5c5e,Foothills Property Management,Mid-Market,pro,Ana Loera,,true,,,,,,,V,,,V,,,,,,,,,,,V,,,,,,,,,,,,,,,,3
68924eb68fa2976c485f69bf,Desert Pine Stays,SMB,pro,Ramiro Peña,,true,,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,V,V,V,OFF,V,,V,V,V,V,V,V,V,,,,V,,27
5cdf37ae8af35c001fb37793,Restavio Hospitality Management Ltd.,Mid-Market,pro,Ram Cheriyath,,true,,,,V,,,,,,,,,,,V,,,,,,V,,,,,,,,,,,,,,,V,4
5e4364c3ce11510027f93f64,Euphoria Vacation Homes,Mid-Market,pro,Michelle Kim,,true,,,,V,,V,,,,V,,V,,V,V,,,,,V,V,,,,,,,V,V,,,,,,,,10
630e4efabab9e00033ea2c0a,Keys Time Vacation Rentals,SME,pro,Francine Boateng,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,1
570f72c6bf2a540e00c54b14,Coral & Coco,SME,pro,Stacy Wesson,,true,,V,V,,,,,,,,,,,,,,,,,,V,V,V,,,,,,V,,V,,,,,,7
682b7cae9bf7f8c07ec24069,Property Management LHT LLC,Mid-Market,pro,Ram Cheriyath,,true,,V,V,V,,V,V,,,V,,,,V,V,,,,,,,,,,,,,,,,V,,,,,,9
664bd585cf0b3b3eaa8ae209,KRAIN Costa Rica,Mid-Market,pro,Stacy Wesson,,true,,,V,,,,,,,,,,,,V,,V,,V,V,V,,V,,V,,,V,V,,V,,,,,,11
6142c4d23a1eb7002c1e5b0f,Nomadics Vacation Rentals,Mid-Market,pro,Tove May,,true,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,V,,V,,,,,,3
6a0b669769e6fd14acb7a457,ETA Charleston,SMB,pro,Oscar Nomura,,true,,,,,,,,,,,,,,V,,,,,,,V,V,V,,,,,,,,,,,,,,4
6908da6c32feafcbded99cd5,Valore Living,Mid-Market,pro,Mattia Peressini,,true,,,V,,,,V,V,,,,,,,,,,,,,,,,,,,,,V,,V,,,,,,5
6089eeb790c832002c6725c0,MAK Realty Group,SME,pro,Daniela Collazo,,true,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
691ca22a71b66982c92f417e,HOUSE DOM WASHINGTON LLC,Mid-Market,pro,Matthew Bonasera,,true,,,V,,,,V,,,V,V,,,V,V,,,,,V,V,V,V,,,,,,V,,,,,,,,11
68e1480f455d7fda43611baa,Trevor Drew,SMB,pro,Carlos Noriega,,true,,,,OFF,,,V,,,V,V,,,V,V,V,,,,V,V,V,V,,,,,,,,,,,,,,10
66fac85688a5fce1e7b8502d,Stark Industries Property Group L.L.C.,Mid-Market,pro,Lionel Glover,,true,,V,V,V,,,V,V,V,V,,,,V,V,V,V,,V,V,V,,,,V,V,V,V,V,V,V,,,,V,,22
697ce9a0663b9035ac4ca72d,Nest Stays,SMB,pro,Salome Alvarez,,true,,V,,,,,,V,,,,,,,V,,,,,,,,V,,V,,,,V,V,V,,,,V,,9
60589f2d407f86002e6f5394,Nama-Stay,Mid-Market,pro,Oscar Nomura,,true,,,V,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,2
678923670560667fb69d98b7,Snowbasin Vacation Rentals and Powder Mountain Vacation Rentals,Mid-Market,pro,Zafar Khan,,true,V,,,V,,,V,V,,V,V,,,,V,,,,,,V,,,,,,,,V,,,,,,,,9
691b7780480d366aee7b7884,Caribbean Villa Escapes,SMB,pro,Juan Viana,,true,,,,,,,V,V,,,,,,,V,,,,,,V,V,V,,,,,,V,,,,,,,,7
6537df6b3c52ff8f812ad399,BookSmart Properties,SME,pro,Daniela Collazo,,true,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,2
632bc179f2796b003185dfc0,Gestion 1030 inc.,Mid-Market,pro,Zafar Khan,,true,,,,,,,V,,,V,,V,,V,V,,,,V,V,V,V,V,,,,V,V,,,,,,,V,,13
69ed6148e6a377973f278fed,Heritage Collection VR LLC,SMB,pro,Zafar Khan,,true,,V,V,V,,,V,,,V,V,,,,V,,,,,V,V,,V,,V,V,,V,,V,V,,,,,,15
69bc46140dbdf1eea85fc245,Coosawattee River Resort,Mid-Market,pro,Matthew Bonasera,,true,,,,,,,,,,,,V,,,V,,,,,,,V,,,,,,,V,,,,,,,,4
69a845590dbc5df3b7df4edc,Alpha Maintenance and Property Management LLC,Mid-Market,pro,Josue Paredes,,true,,V,V,,,,V,V,,,V,,,,V,V,,,V,,V,V,V,,V,,V,,V,V,V,,,,,,16
6718f143217e6427c3ae8d56,Stars Collection,SMB,pro,Guesty Support,,true,,V,V,,,,,V,,,,,,,,,,,V,,,,,,,,,,V,V,V,,,,V,,8
6a49495151a9cc0a45fe2ad2,3L Properties,SMB,pro,Guesty Support,,true,,V,V,V,V,V,V,,,V,V,V,,V,V,V,V,,OFF,V,V,V,V,,V,,V,V,V,,,,,,V,,22
69cb2ccdab73bf331ea7c27f,Your Vacay Stay,SMB,pro,Katherine Ting,,true,,,,,,,V,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,2
683d52a59bf7f8c07ec246d9,Salisù,SMB,pro,Giorgia Ruocci,,true,,,,,,,,,,,,,,,,,,,,,V,,V,,,V,,,,,,,,,V,,4
686f8fc3848cfe372d8d3569,Nova Accommodations,SMB,pro,Guesty Support,,true,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
68f9f20e9b696177c7547796,Dr. Wehner Immobilien GmbH & Co. KG,SMB,pro,Daniel Sanchez,,true,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
653223b9f7301b58c8286ae9,Cloud Stays Management,SME,pro,Sharine Duran,,true,V,V,,,,V,,,,V,,,,,,,,V,V,V,V,V,,,,,V,V,V,V,,V,V,,,V,16
5db6c592bba9f4001f7d610f,EASY BNB GmbH,SME,pro,Joaquin Benitez,,true,,,V,,,,,,,,,V,,V,V,,,V,,,V,V,V,,,,,,,,,,,,,,8
65de84dfdbc8831ff7c95722,VAQUAY,Mid-Market,pro,Zoe Jiang,,true,,,,,,,,,,V,,,,,,,,,,V,,,,,,,,,,,,,,,,,2
6617f29b4f51fa50b2ab400e,Nuba,Mid-Market,pro,Guesty Support,,true,,V,V,V,,,V,V,,,V,V,,,V,V,V,,V,V,V,V,,,V,,V,,V,V,V,,,,,,19
6281dd553f98320036a4fae3,Air Design Australia,Mid-Market,pro,Zoe Jiang,,true,,V,V,V,V,,,V,,,,,,,V,,,,,,V,,V,,V,,,,,,,,,,,,9
630f3051442af0003524d5a2,Klaus Mayer,Mid-Market,pro,Melodie Landemard,,true,,,,V,V,V,V,V,,,,,,V,,,,,,V,V,V,V,,,,,,V,,,,,,,,11
685b5232f93bc2cbdb72d15e,Staycay Pty Ltd,Mid-Market,pro,Rebecca Virgin,,true,,,V,,,,,,,,,,,,V,,,,,,V,,,,V,,,,V,,V,,,,,,6
63f9222c980d05002c4e554d,Services de location Qc,SMB,pro,Guesty Support,,true,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,1
632637ab3a7e830038dcfb29,StayClassy Corporate Housing,SME,pro,Tatiana Figueroa,,true,,,,,,V,V,V,,V,,V,,V,V,,V,,,V,V,V,,,,,,,V,,V,,,,,,13
6994e65ed6216b9e5491aca0,Freshleaf Lda,SMB,pro,Daniel Sanchez,,true,,,V,,,,,V,,,,,,,,,,,,,,V,,,V,,,V,,,,,,,,,5
5e331a8a5ea5660027a4ca3b,Matt Brawner,SME,pro,Stacy Wesson,,true,,,,,,,,,,,,,,,,,,,,,V,V,,,,,,,,,,,,,,V,3
69fe1fdc24db941f82ebffa7,"Next Level Host, LLC",Mid-Market,pro,Francine Boateng,,true,V,V,V,V,V,V,V,V,,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,,,V,V,,V,,,,V,,26
68dbf54b455d7fda43611a1a,Golden Isles Retreats,Mid-Market,pro,Josue Paredes,,true,,V,,,,,V,V,,,,,,,V,,V,,V,V,V,V,V,,V,,,V,V,,V,V,,,,V,16
69aae10861cac96dae58768c,Kavik LLC,SMB,pro,Lionel Glover,,true,,,,,,,,,,,,,,,,,,,,V,,,V,,,,,,,,,,,,,,2
633ce6133627590032806db7,Premier Vacation Stays,Mid-Market,pro,Enjoli Mitchell,,true,V,,,,,,V,V,,,V,,,,V,V,,,,V,V,V,,,,,,V,V,V,V,,,,,V,14
6a14f5d2121c76bd02e0379c,Acomm Corporate Housing LLC,SMB,pro,Nelson Sing,,true,,,V,V,,,V,V,,,,,,V,V,,,,,V,,V,V,,,,,,,,,,,,,,9
68af6c6fc3307ffd38a1c2b6,Stay Hospitality,SME,pro,Daniela Collazo,,true,V,,V,V,,,V,V,,,,,,,V,,,,,V,V,,,,V,,V,,V,V,,,,,,,12
5f16f5f24e10a8002b6aaf40,East Zion Resort,Mid-Market,pro,Ram Cheriyath,,true,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69c69f253347f19f4415d38d,Reddy Properties Limited,Mid-Market,pro,Mattia Peressini,,true,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,1
69733e14463cf568977078a6,Stein Projekte GmbH,SMB,pro,Giorgia Ruocci,,true,,,,,OFF,V,,V,,,,,,,V,,,,,,,,,,,,,,V,,,,,,,,4
6887b1d0a14c863e5df12891,Village Properties at Sunriver LLC,SME,pro,Ana Loera,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,V,V,V,V,V,V,V,,8
69f095701498cabfd929419a,AZONIS Rental,SMB,pro,Giorgia Ruocci,,true,,,,,,,,,,,,,,,,,,,,,V,V,V,,,,,,,,,,,,V,,4
69efc315e453daafc4d64955,Housmigo Rentals LLC,SMB,pro,Ramiro Peña,,true,,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,V,V,V,V,V,,V,V,V,V,V,,,,,,V,,26
6920aa1f51ad620fe8272ce8,Ventur Group LLC,Mid-Market,pro,Matthew Bonasera,,true,,V,,,,,V,,,,,V,,,,,,,,,V,,V,,,,,,,,,,,,,,5
678a25ea1e8afb8c9a78c0bf,SK CONCIERGERIE,Mid-Market,pro,Ayman Hazm,,true,,,V,V,,,,,,,V,,,,V,V,,,,,,V,V,,,,,,V,,,,,,,,8
679cb9118813d085915a6c14,53 Degrees Property Ltd,Mid-Market,pro,Courtney Trow,,true,,V,,,,,V,,,,,,,,V,,,,V,V,V,V,V,,,,,,,,V,,,,V,,10
68f12ac7e4f9efbe702b8d80,Oceans Edge Vacations,SME,pro,Cameron Gray,,true,,V,V,,,,V,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,4
68bb70b7ecfc9bc7982820c0,Roofstock - Casago Charleston,Enterprise,enterprise,Devin Holbrook,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,V,V,,,,V,,4
698fe6502545aee1ddea04db,Lofted Living NY LLC,SMB,pro,Ramiro Peña,,true,,,V,,,,,,,,,,,,,,,,,,,V,V,,,,,,,,,,,,,V,4
69dba8ba888d4187f93c6624,HTS Property Holdings LTD,Mid-Market,pro,Courtney Trow,,true,,V,V,,,V,V,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,5
63933b4633b86b005875b536,Oasis Vacation Rentals LLC,Mid-Market,pro,Oscar Nomura,,true,,,V,V,,,V,,,V,,,,,,,,,,,V,,V,,,,,,,,,,,,,V,7
67d212b19732a2600cbdbdf3,Glasco,Mid-Market,pro,Audrey Puylaert,,true,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,2
67a665ca5e080b23fd3694f0,NOK,Mid-Market,pro,Enjoli Mitchell,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,1
69bdbe984a4da1c92d8bc43a,Host-me,Mid-Market,pro,Matthew Bonasera,,true,,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,V,V,V,V,V,,V,V,,V,V,V,V,,,,,,26
63c1a43f36e54b002bb0d0b2,Bach Bros Properties,SME,pro,Stacy Wesson,,true,V,,V,,,,,,,,,,,,,,,,,,V,,,,,,,,,,V,,,,,,4
698ded3c1d2e729c9e19e0c5,Dream Vacations and Rentals,Mid-Market,pro,Tove May,,true,V,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,,V,,V,V,,V,V,V,V,V,V,V,,V,31
675088ce3780f3a8abe636d7,SMART HOST VACATION HOME RENTAL L.L.C.,Mid-Market,pro,Courtney Trow,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,V,V,,,,,,V,4
67e1288cca7c39bad0050470,Matthew Baker,SMB,pro,Daniel Sanchez,,true,,V,V,,V,,V,,,,,,,,V,,,,,V,V,V,,,,,,,V,,,,,,,,9
69df55fa9340ba4cbda13667,Emily Lofthouse Hedley,SMB,pro,Ander Vicente,,true,,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,,V,V,V,V,,V,V,V,V,V,,,,,,V,,25
