Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar conflict detector,Check-in readiness,Commitment keeper,Daily task coverage board,Inquiry expiry manager,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access review,Translation gap filler,Weekly Operation Brief,Negative review challenger,Review response drafter,Saved replies optimizer,Checkout Balance Collection Agent,Fees configuration Audit,Security deposit extender,Tax configuration Audit,Unpaid reservation tracker,Advanced deposit clearance,Monthly Cancelled Reservations,Owner payment details collector,Airbnb quality detector,# Active
5aff29ca5e0f84006a37cb5d,Stay Awhile Villas,SME,pro,,,true,,,,,,V,,,,,V,V,,,,,V,,,,,,,,,,V,,5
693592c67e6de65e769be230,Weston Holidays,SMB,pro,,,true,V,V,V,V,V,,V,,V,,V,V,,,,V,V,V,V,,,,,,,,,V,14
68d6d384455d7fda436118ca,Scenic Stays,Enterprise,enterprise,,,false,,OFF,,,,OFF,,,,,,OFF,,,,,OFF,,,,,,,OFF,,,,,0
5cf3120c0f6abc001ff04f2e,Hello Host,Mid-Market,pro,,,true,,V,,,,V,,,,,V,V,,,,,V,V,,,,,,V,,,,,7
60b4ed00a32033002e44e4e2,RSB Living / Management,Mid-Market,pro,,,true,,OFF,,,,V,,,,,V,OFF,,,,,V,V,,,,V,,V,,,,,6
63991db67ee89b004e196515,Soulfull Stayz,SMB,pro,,,true,,V,,,,V,,,,,,V,,,,,,,,,,,,V,,,OFF,,4
5f3a7d87949020002db896dc,Curated Property,Mid-Market,pro,,,true,,V,,,,V,,,,,V,V,,,,,V,V,,,,,,V,,,,,7
573b8b688e31d30e0035418f,Bijou Getaways,Mid-Market,pro,,,true,,,,,,V,,,,,,V,,,,,V,V,,,,,,V,,,,,5
62b337033513aa00347a2410,Jeff Nisius,Mid-Market,pro,,,true,V,V,,V,,V,V,V,V,V,V,V,V,V,V,,V,V,V,,,V,,V,,V,,,19
66e0538243d84c7d87fb527f,emiliano Sofia,SMB,pro,,,true,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,1
66f1a8e388a5fce1e7b84e47,Guesty Trial Account 4,SMB,pro,,,true,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,1
692087d60cb25a3efd780f59,CJR Stays,SMB,pro,,,true,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,V,27
669fd4375db8ecdd6b7e2916,Angelo Sturzebecher,SMB,pro,,,false,,,,,,,,,,,,,,,,,,,,,,OFF,,,,,,,0
