Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar conflict detector,Check-in readiness,Commitment keeper,Daily task coverage board,Inquiry expiry manager,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access review,Translation gap filler,Weekly Operation Brief,Negative review challenger,Review response drafter,Saved replies optimizer,Checkout balance collection,Fee configuration detector,Security deposit extender,Tax Configuration Audit,Unpaid reservation tracker,Advance deposit checker,Monthly cancelled reservations,Owner payment details collector,Airbnb quality detector,# Active
63cfe630ecbfb30039426da8,Maxwell Residences,Mid-Market,pro,,,true,,,OFF,V,,,OFF,,OFF,,V,OFF,,,,V,,,,,,V,,V,,,,,5
692087d60cb25a3efd780f59,CJR Stays,SMB,pro,Austen Bernhardt,,true,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,28
693592c67e6de65e769be230,Weston Holidays,SMB,pro,Daniel Sanchez Iovane,,true,V,V,OFF,V,V,,V,,V,,V,V,,,,V,V,V,V,,,,,,,,,V,13
67d362f57468c0a23a0281f5,Stay Portland,SME,pro,,,true,V,,,V,,,,,,,,,,,,,V,V,,,,,,,,,,,4
680f840727962971e7ee00c0,Wyndale Living,SMB,pro,Courtney Trow,,true,V,,,V,,,,,V,,,V,,,V,,V,V,V,,,,,,,,,,8
654656eac66d810b8ce078ac,"Martinek Management, Inc.",Mid-Market,pro,Carlos Villarreal,,true,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,1
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,SMB,pro,Mattia Peressini,,true,,,,,,,,,,,V,V,,,V,,V,V,V,,,,,V,,,,,7
69f45411a36ffdd106868926,5starbalivilla,Mid-Market,pro,Zoe Jiang,,true,,V,,V,,,,V,,,,,,,V,,,V,,,,,,,,,,,5
5db6c592bba9f4001f7d610f,EASY BNB GmbH,SME,pro,Joaquin Benitez Mendoza,,true,,V,,,,,,,V,,V,V,,,V,,OFF,V,,,,,,,,,,,6
692739cf51ad620fe8272e74,Fripp Island Golf & Beach Resort,SME,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,1
6601f8d2c9d2b0a68e714a68,"Navigate Stays, Inc.",SME,pro,Audrey Puylaert,,true,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,1
5db0a5a602bcef001fed7da1,GreatStay,Mid-Market,pro,,,true,,,,,,,,,,,V,,,,,,,V,,,,,,,,,,,2
5aff29ca5e0f84006a37cb5d,Stay Awhile Villas,SME,pro,Audrey Puylaert,,true,,,,,,OFF,,,,,V,V,,,,,V,,,,,,,,,,V,,4
5cf3120c0f6abc001ff04f2e,Hello Host,Mid-Market,pro,Rebecca Virgin,,true,,V,,,,V,,,,,V,V,,,,,V,V,,,,,,V,,,,,7
60b4ed00a32033002e44e4e2,RSB Living / Management,Mid-Market,pro,Alexandra Laframboise,,true,,OFF,,,,V,,,,,V,OFF,,,,,V,V,,,,V,,V,,,,,6
63991db67ee89b004e196515,Soulfull Stayz,SMB,pro,Rebecca Virgin,,true,,V,,,,V,,,,,,V,,,,,,,,,,,,V,,,OFF,,4
5f3a7d87949020002db896dc,Curated Property,Mid-Market,pro,,,true,,V,,,,V,,,,,V,V,,,,,V,V,,,,,,V,,,,,7
573b8b688e31d30e0035418f,Bijou Getaways,Mid-Market,pro,,,true,,,,,,V,,,,,,V,,,,,V,V,,,,,,V,,,,,5
66e0538243d84c7d87fb527f,emiliano Sofia,SMB,pro,,,true,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,1
66f1a8e388a5fce1e7b84e47,Guesty Trial Account 4,SMB,pro,,,true,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,1
669fd4375db8ecdd6b7e2916,Angelo Sturzebecher,SMB,pro,,,false,,,,,,,,,,,,,,,,,,,,,,OFF,,,,,,,0
