Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar block monitor,Calendar conflict detector,Check-in readiness,Cleaning conflict detector,Commitment keeper,Daily task coverage board,Inquiry expiry manager,Maintenance block agent,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access review,Translation gap filler,Vacancy task detector,Weekly Operation Brief,Negative review challenger,Review response drafter,Saved replies optimizer,Checkout balance collection,Fee configuration detector,Security deposit extender,Tax Configuration Audit,Unpaid reservation tracker,Advance deposit checker,Monthly cancelled reservations,Listing Ownership Gap Finder,Owner payment details collector,Airbnb quality detector,# Active
68502ae069052da60a37bb35,PMI Grand Partners,SMB,pro,Austen Bernhardt,,true,,,,OFF,,V,,,,,,V,,,V,,,,,V,V,V,V,,V,,V,V,V,V,,V,,13
62dfb5609b58d9003489fdd9,Short Term Accommodation Management,Mid-Market,pro,Rebecca Virgin,,true,V,V,,V,,V,,V,,,,V,,,V,,V,,V,V,V,V,V,,,,,V,,,,,V,15
677364cf309e10ff8a2b7823,stay albatross,Mid-Market,pro,Ambar Jenrette,,true,V,,V,V,,,,,,,,,,,V,,,,,V,V,,V,,,,,V,V,,,,V,10
60b4ed00a32033002e44e4e2,RSB Living / Management,Mid-Market,pro,Alexandra Laframboise,,true,,,V,OFF,,V,V,V,,V,,V,,V,V,V,V,V,,V,V,V,,,,V,,V,,,,,V,17
67b60a1a5e080b23fd369971,Property Management Brickell,SMB,pro,Carlos Noriega,,true,,,,,,,,V,,,,V,,,,,,,,,V,V,V,,,,,,,,,V,V,7
67ab756274bbea4a11fa70fd,PMI Home Team,SMB,pro,Lionel Glover,,true,V,,V,,,V,,,,,,,,V,,,,,,,V,V,V,,V,V,V,V,V,V,,,V,14
679c2d7ff6fab777ee05be5d,PMI Realty Management NW,Mid-Market,pro,Austen Bernhardt,,true,,,V,,,,,V,,,V,,,,V,V,,,,V,V,,V,,V,,,V,V,V,,,V,13
691d1c4f480d366aee7b7923,Midway Vacations,SME,pro,Daniela Collazo,,true,OFF,,OFF,OFF,,OFF,,OFF,,,OFF,,,V,OFF,,,,,V,V,V,V,,,,,OFF,,OFF,,,V,6
6a0d837b3a9fbb09f420ad57,HejU,SMB,pro,Daniel Sanchez,,true,,,,,,,,V,,,,,,,V,,,,,,,,,,,,,,,,,,V,3
6786c86d1e8afb8c9a78be4b,Lanui Realty,Mid-Market,pro,Matthew Bonasera,,true,V,,V,V,,V,V,V,,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,,V,V,,,,,V,23
697b85ea663b9035ac4ca684,Stay on 30a,SME,pro,Tatiana Figueroa,,true,V,V,V,OFF,,V,,,,,V,V,,,V,,V,,,V,V,V,V,,V,,,V,V,V,,,V,17
674c89854205b64ae791db2d,Apex Short Term Stays,SME,pro,Audrey Puylaert,,true,,,V,,,,V,,V,V,,,,V,,,,,,V,V,V,,,,,,V,,,,,,9
67ec440548a9aa094fae1946,The Dolly House,SMB,pro,Salome Alvarez,,true,V,,,V,,V,,V,,,V,,,,V,,,,,V,V,V,,,V,,,,V,,,,V,12
6361401a09cd6a004c376443,APEK Rentals,Enterprise,pro,Guesty Support,,true,V,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,31
62b337033513aa00347a2410,Jeff Nisius,Mid-Market,pro,Ram Cheriyath,,true,V,,V,,,V,V,V,,V,V,V,V,V,V,V,V,V,,V,V,V,V,,V,V,V,V,,V,V,,V,25
69f3b416e330761c405c948f,Hearth and Haven Vacation Rentals,Mid-Market,pro,Carlos Villarreal,,true,,,V,,,,,V,,,V,,,,V,,,,,,V,V,,,V,,V,V,,,V,,V,11
63d7edf439e935004cc1d253,Stars Vacation Homes,SME,pro,Ana Loera,,true,V,V,V,V,,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,,V,V,V,V,V,V,V,29
6924eaa051ad620fe8272dea,TriPower Vacation Rentals,SME,pro,Tatiana Figueroa,,true,V,,,,,,,,,,,,,,,,,,,,,,,,OFF,,,,,,,,V,2
69f23c0fa36ffdd10686883b,Bahaya Studio,SMB,pro,,,true,V,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,,V,V,V,29
693ff4b9570de86384a95d56,Homega,SMB,pro,Courtney Trow,,true,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5cae1cd01963d20020ac1a48,STAE-Homes,Mid-Market,pro,Jay Taylor,,false,,,,,,,,,,OFF,,,,,,,,,,,,,,,,,,,,,,,,0
6793fa51d9deecc47f5fde52,PMI Annapolis,Mid-Market,pro,Tove May,,true,,,OFF,V,,,,V,,V,,,,,,,,,,,,V,,,,,,,V,V,,,,6
6862e08eb12c774daba2501a,LS Living Solutions GmbH,SMB,pro,Mattia Peressini,,true,V,,,V,,V,V,V,,,,,V,,V,V,,V,,V,V,V,,,V,,V,V,,,,,V,16
5d652541b6dd0d0022186a5a,TWO KEENS,Mid-Market,pro,Francesca Pastore,,true,V,,,V,,V,V,V,,V,,,,V,,V,V,V,,V,V,V,V,,V,,,V,V,V,V,,V,20
696e041db558d35d8ff05dbb,Chimento Properties,SMB,pro,Daniel Sanchez,,true,V,V,V,OFF,,V,,V,,,,,,V,V,V,V,V,V,V,V,V,V,,,,,,,V,V,,V,18
664cd7b17ece3a46c68c5b09,Bee Cave Mgmt LLC,Mid-Market,pro,Francine Boateng,,true,V,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,31
6807edbdabdb443652813879,CaymanVacation.com Inc.,SME,pro,Michelle Kim,,true,V,,V,V,,V,V,,,V,V,V,,V,V,,,,,V,V,,V,,V,,,V,V,V,,,V,18
68dc7179455d7fda43611a4e,Mayan Getaways,SMB,pro,Carlos Noriega,,true,,,,,,,,,,,,,,,,,,,,,V,,V,,,,,,,,,,V,3
6334a9f4fbc794003300a8df,Holdfast Holdings LLC,SME,pro,Oscar Nomura,,true,V,,,V,,V,V,,,,,V,,,,,,,,,V,,,,,,,,,,,,V,7
5ef3d1c8d3d96e002c5c8ccf,Wyo Stays,Mid-Market,pro,Oscar Nomura,,true,V,V,V,V,,V,,,,,V,V,,V,V,,V,V,V,V,V,V,V,,V,,,V,,V,,,V,20
61c3cb157f91160032321589,Capitalia,Enterprise,enterprise,Daniela Collazo,,true,,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,V,V,V,V,V,,,V,V,V,V,V,,,,25
697a2cee97c71aa6720b0d44,Mountain Laurel Chalets,Mid-Market,pro,Michelle Kim,,true,V,,,,,V,V,,,V,,V,,,V,,,,,V,,,,,V,,,,,,,,V,9
6911fd1e550760fa8fef6f06,PMI Orlando,Mid-Market,pro,Michelle Kim,,true,,,,,,,,,,,,,,,,,,,,V,,,,,,,,V,,,,,,2
60a11f07b5ba8c0032edf1f2,Tucker Lecaroz,SME,pro,Benjamin Lockard,,true,,,,,,,,,,V,,,,,V,,,,,V,,,,,,,,,,,,,,3
680f840727962971e7ee00c0,Wyndale Living,SMB,pro,Courtney Trow,,true,V,V,,,,V,,,,,,V,,,V,,,V,,,V,V,V,,,,,,,,,,V,10
66d8f05354b7aad995340e48,Duna Stays,Mid-Market,pro,Oscar Rodriguez,,true,V,V,V,,,V,,V,,,,,,,,,,,,,V,V,,,V,,V,,,,V,,V,11
636e32938bd5a2003029bee5,City Superhost Ltd,SME,pro,Francesca Pastore,,true,V,V,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,V,4
69fe1fdc24db941f82ebffa7,"Next Level Host, LLC",Mid-Market,pro,Ana Loera,,true,V,V,V,V,V,V,V,V,,V,V,V,,V,V,V,V,V,,V,V,V,V,,V,,V,V,,V,,V,,25
69933bef41d409613cc75390,Brickon Baja,SMB,pro,,,false,OFF,OFF,OFF,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68da7920455d7fda43611996,Juan Martin Starobinsky,SMB,pro,Lionel Glover,,true,V,,,OFF,,V,,,,,,V,,V,V,,,V,,V,V,,V,,,,,,,,,,,9
6536e701dc41f79f2ebae0fb,"What matters, we host.",Mid-Market,pro,Pablo Paez,,true,V,,V,V,,,V,,,V,V,,,,V,,,,,,V,,V,,,,V,,,,V,,V,12
68f6332c669647d6ff17ddb7,DoCo Vacations,SME,pro,Benjamin Lockard,,true,V,,,,,V,,,,,,,,,,,,,,V,V,V,V,,,,,V,,,,,,7
687a54c92757e823e9782877,PMI Coeur d'Alene,SMB,pro,Austen Bernhardt,,true,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,V,2
54f14865ee377a1100ad6b25,Great Dwellings,SME,pro,Michelle Kim,,true,,V,,,,,,V,,,V,,,,,,,,,,V,,,,,,V,,,,,,V,6
6915f6045cd28d883ce2b561,Florida Homes Property Management LLC,SMB,pro,Salome Alvarez,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,1
692087d60cb25a3efd780f59,CJR Stays,SMB,pro,Austen Bernhardt,,true,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,33
5dee27c28e1c2c001f6e4236,Betterstays,Mid-Market,pro,Rafael Merchán,,true,V,,,,,,,,,,,,,,,,,V,,,V,V,,,,,V,V,V,,,,,7
626902eb92ca6b0031a33088,Alexey Penkrat,Mid-Market,pro,Rafael Merchán,,true,,,,,,V,,,,,,,,,,,,,,,V,,,,,,,,,,,,,2
6362e15264e1de0053681f65,Commendable Rentals LLC,Mid-Market,pro,Rafael Merchán,,true,V,,,V,,V,,,,V,,,,,,,,V,,,V,V,V,,,,,V,V,V,,,,11
66b8767209f6eb953cb9dd73,AirDXB,Enterprise,enterprise,Ayman Hazm,,true,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,1
665098227ece3a46c68c5b7b,HILO Collection,Mid-Market,pro,Daniel Sanchez,,true,,,V,OFF,,V,,OFF,,,,,,,,,,,,,,,,,V,,V,,V,,,,,5
69f399e1a36ffdd1068688cc,Blue Puffin Stays LTD,Mid-Market,pro,Rafael Merchán,,true,V,,,,,V,,,,,V,,,,V,,,V,,V,V,,,,V,,,V,,,,,,9
5a8f8d7c088527002c859860,Tiny Away,Enterprise,enterprise,Zoe Jiang,,true,,,V,,,,,,,,,,,,,,,,,,V,,V,,,,,,,,,,,3
64cac18910bac429a7655ab5,AM Group LLC,Mid-Market,pro,Audrey Puylaert,,true,,,V,,,OFF,,,,,V,,,,V,,,,,,V,V,,,,,,V,,,,,,6
6797aaf008ad1c127b6c4a3f,BozemanBnB,Mid-Market,pro,Carlos Noriega,,true,,,V,OFF,,,,,,,,,,,,,,,,,V,,,,,,,V,,,,,,3
67c97d3940e1ed4a6dae295e,Tatiana Filipa Gonçalves Silva Unipessoal Lda,SMB,pro,Giorgia Ruocci,,true,V,,,,,,,,,,,,,,V,,,,,,,,,,V,,,V,V,V,,,,6
6760b6a132d244f081e68774,PMI Southeast CT,Mid-Market,pro,Tove May,,true,V,,,,,,,,,,,V,,,,,,,,,,,,,,,,V,,V,,,,4
6566138da6aaa15054eb403a,Aval Property Experience LLC,SMB,pro,Oscar Rodriguez,,true,,,,V,,V,V,V,,,,,,V,,V,,V,,V,V,V,V,,V,,V,V,V,V,,OFF,,16
693ad7571efcceb4712e31bc,Homebelike Inc,Mid-Market,pro,Pablo Paez,,true,V,,,,,,,,,,,,,,,,,,,,V,V,V,,,,,,,,,,,4
66437bd7edfdf84f83ebd3ef,Franklin Suites South Beach,Mid-Market,pro,Oscar Nomura,,true,,,,,,V,,,,,,V,,,,,,,,,,,,,V,,,,,,,,,3
64d67002752b5efdc3216c49,Beach Weekend,SME,pro,Cameron Gray,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,V,V,,V,,,,3
67fd56ef56bac59fb2d49fe0,Dorsen Stay,Mid-Market,pro,Michelle Kim,,true,,,V,V,,,,,,,,,,,V,,,,,,V,V,V,,,,,V,,,,,,7
68d6e9bc455d7fda436118d3,BUHO Property,SMB,pro,Salome Alvarez,,true,V,,V,OFF,,V,V,,,,V,,,V,V,V,V,V,,V,V,V,,,V,,,V,,V,,,,16
6a01de4424db941f82ec00fd,Vit Vosecek,Mid-Market,pro,Joaquin Benitez,,true,V,,V,,,V,,V,,V,,,,V,V,V,,,,,V,V,V,,V,,,,,,,,,12
67f3e2c2c3c7926782f6fd63,Miami Vacation Rentals,SME,pro,Matthew Bonasera,,true,,,V,,,,,V,,,V,,,,V,,,,,,V,,,,,,,V,,,,,,6
5e86008f3b57e50029c6f7a3,COASTAWAYS,Mid-Market,pro,Francesca Pastore,,true,V,,V,OFF,,,,V,,,V,V,,V,V,,V,V,,V,V,V,V,,V,V,,V,V,V,,,,18
6847199ce163651ced70b388,PMI Southwest Florida,Mid-Market,pro,Tove May,,true,,,,,,,,,,,,,,,,,,,,V,V,V,,,V,,,,V,,,,,5
5dc4724781b892001fd17fdc,Cyclinn,SME,pro,Pablo Paez,,true,,,V,,,,,,,,V,,,,,,,,,,,V,,,,,,,,,,,,3
68af6c6fc3307ffd38a1c2b6,Stay Hospitality,SME,pro,Daniela Collazo,,true,V,,V,V,,V,,V,,,,,,,V,,,,,V,V,,,,V,V,,,V,,,,,11
6894940b8fa2976c485f6a7b,ACP Property Management,SMB,pro,Rafael Merchán,,true,,,V,,,V,,V,,,V,V,,,V,,,V,,V,V,V,,,,,,,,V,,,,11
597212412663471000e369d3,Wehost,SME,pro,Jay Taylor,,true,V,,,,,,,,,,,,,,,,,,,,V,,V,,,,,,,,,,,3
66c2bf6f3115bbdac808a289,Banyan Living,SME,pro,Sharine Duran,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,1
6a0a95e47039d420d3367e71,Roombix Company Limited,Mid-Market,pro,Zoe Jiang,,true,,,V,,,,,V,,,,,,,V,,,,,,,,,,,,,V,,,,,,4
614f3a3a96a3a1002ffb58df,PBD Living,Mid-Market,pro,Enjoli Mitchell,,true,V,,,,,V,,,,V,,,,,,,,,,,,,,,,,,,,,,,,3
699f438e5042ea2535f13f10,Platinum Corporate Housing LLC,Mid-Market,pro,Benjamin Lockard,,true,,,V,,,,,V,,,,,,,,,,,,,V,V,V,,,,,,,,,,,5
667eee524bd396ee968c2e10,Paradise Coast Vacations LLC,Mid-Market,pro,Guesty Support,,true,V,,,V,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,3
69a1eaf9f879ec73b0757752,Iron Horse Property Management,Mid-Market,pro,Juan Viana,,true,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,V,V,,,,3
630c144076877b0034570fe8,Nashville Vacation Homes,SMB,pro,Guesty Support,,true,,,,,,,,,,,,,,,,,,,,,V,V,,,,,,,,,,,,2
69fe47335345bf1c5c6bc4e5,Casiola Four Corners,SMB,pro,,,true,,,,V,,V,,V,,,,,,,,,,,,,V,V,V,,,,,,,,,,,6
65a667e4b9e4d7d58c549b97,CiCoSolutions Limited,Mid-Market,pro,Carla Scimia,,true,,,V,OFF,,,,,,,,,,,,,V,,,V,,,,,,,,,V,V,,,,5
679c2c88f6fab777ee05be5c,PMI Coastal GA,Mid-Market,pro,Tove May,,true,,,,,,V,,V,,,V,,,,,,,,,,V,V,V,,,,,V,,,,,,7
6982112b53b1f96a082bd86a,STL Stays,Mid-Market,pro,Ander Vicente,,true,V,,V,V,,V,V,V,,,V,,,V,,,V,V,,,V,V,V,,,V,,V,V,,,V,,17
64d55cb7ce67eb04531a85a4,"Travel Luxe Vacation Rental Management, LLC",Mid-Market,pro,Audrey Puylaert,,true,V,,,OFF,,V,V,V,,V,,,,,V,,,V,,V,,,V,,,V,,V,,,,,,11
68f72d1b669647d6ff17de0a,Laydo Lodges,SMB,pro,Giorgia Ruocci,,true,,,,V,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6824de7a9bf7f8c07ec23e87,The Penthouse at Grand Plaza,Mid-Market,pro,Diana Chalita,,true,,,,,,,,,,,,,,,V,,,,,V,,,,,,,,,,,,,,2
699699720e798385617b4d65,Whistler Breaks Vacation Rentals Ltd,Mid-Market,pro,Alexandra Laframboise,,true,,,,,,,V,,,,V,,,,,,,,,,,,,,,,V,V,V,V,,,,6
68dc0ec1ea1895d9005ea5b5,Jaco Homes,Mid-Market,pro,Josue Paredes,,true,,,,,,,,V,,,V,,,,,,V,,,V,V,V,V,,,,,,,,,,,7
697cf07e97c71aa6720b0e9b,Asesoria e Inversiones Riverso Andes SPA,Mid-Market,pro,Juan Viana,,true,V,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,2
5d0ad220923bcf001fbf0f27,goldnest,SME,pro,Tatiana Figueroa,,true,V,,V,,,V,,V,,,V,V,,,V,V,V,,,V,V,V,,,,V,V,V,,,,,,15
668416f75cf364d3f1d4fc02,La Loge du Bassin,SMB,pro,Ander Vicente,,true,,,,,,,,,,,,,,,V,,,,,,,,,,,,,V,V,V,,,,4
68f7babc669647d6ff17de31,david@alpinerp.com,SMB,pro,Guesty Support,,true,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,1
66d740a1580ac4aef92cd393,Boutique Mexico Villas,SMB,pro,Guesty Support,,true,,,V,,,V,,,,,V,,,V,V,,,,,,,V,V,,,,,,,,,,,7
64139ff3c65440002b13309c,openroadstays,Mid-Market,pro,Carlos Villarreal,,true,,,,,,V,V,,,,,V,,,V,,,,,V,V,V,V,,V,,V,,,,,,,10
5ace5614361a370024403cf2,Victor Feria,Mid-Market,pro,Oscar Nomura,,true,,,,,,V,,,,,,,,,V,,,,,,V,V,V,,,,,,,,,,,5
697b6d7018d47177e4626409,360 Suítes,Enterprise,enterprise,Tatiana Figueroa,,true,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5ca75ba6e2a6e700216d3ef2,Seven Living,Mid-Market,pro,Carla Scimia,,true,V,,,OFF,,OFF,V,,,V,,V,,,V,,,,,V,V,,V,,,,,V,,,,,,9
6728b004be4aa729794a58b4,Homeprime,Enterprise,enterprise,Steven Brumwell,,true,,,V,,,V,,,,,,,,,V,,,,,,V,,,,,,,,,V,,,,5
686df480848cfe372d8d3444,T R P S VACATION HOMES RENTAL CO. L.L.C,Mid-Market,pro,Joaquin Benitez,,true,,,,,,,,,,,,,,,V,,V,,,,,,,,,,,,V,,,,,3
68409606f3014ca4db02ba03,Apex Experience,SMB,pro,Tatiana Del Rosario,,true,V,,,,,V,,,,,,,,,,,,V,,V,V,V,V,,,,,,,,,,,7
5e5943189deedf002d55fa23,Kim Herrlein,Mid-Market,pro,Oscar Nomura,,true,,,,V,,V,V,V,,V,,,,V,,,,,,,,,,,,V,,,,,,,,7
649b55e80e74c200484af7e9,Calibrate Estates LLC,Mid-Market,pro,Enjoli Mitchell,,true,V,,,OFF,,V,,V,,V,,,,,,,V,,,V,,,,,,,,,,,,,,6
6362ae0ca530a300606728c4,Carolina Palm Vacations,SME,pro,Cameron Gray,,true,,,V,,,V,,,,,,V,,,,,,,,,,,,,,,,,,,,,,3
68bf98615ae37cf73089f9b7,Visit Vail By Esquiar LLC,Mid-Market,pro,Matthew Bonasera,,true,V,,V,,,V,V,,,,,,,,,,,,,,,V,,,V,,V,V,V,,,V,,10
6859df8e8e18aabad83b38e6,Newport Beach Vacation Properties,SME,pro,Stacy Wesson,,true,,,,,,,,,,,,,,,V,,,,,,V,V,,,,,V,V,,V,,,,6
6602f6870e127ba484a75426,Las Clementinas Hospitality,SMB,pro,Tatiana Del Rosario,,true,,,,,,,,,,,,V,,,V,,,,,,,,,,,,,V,V,,,,,4
6681e8581d4f0cc576fdd0b6,Punto Paz Rentals,SMB,pro,Tatiana Del Rosario,,true,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,1
679bac6985f74b5fe968cf22,Hosted by Sleepover Ltd,SMB,pro,Dana Evans,,true,,,,,,,,,,,,,,,V,,,,,V,V,V,,,,,,V,,,,V,,6
6737c1df54b397d19ec27003,Auszeit Apartments,Mid-Market,pro,Joaquin Benitez,,true,,,,,,,,,,,,,,V,V,,,,,,,,,,,,,,,,,,,2
68a4bfc198a490922e9193f4,B-Infiniti Villas & Homes,Mid-Market,pro,Francesca Pastore,,true,,,,V,,V,,,,V,,V,,V,,,,,,V,V,V,V,,V,,,V,,,,,,11
691f524a51ad620fe8272c90,Flex Immobilier,Mid-Market,pro,Audrey Puylaert,,true,V,,V,V,,V,V,V,,V,V,V,,V,V,V,,V,,V,V,V,V,,,,,,,,,,,17
68a2b19a05a59cdc4ff30418,"TAMON CAPITAL GROUP, LLC",SMB,pro,Oscar Rodriguez,,true,V,,V,V,,V,V,V,,V,V,V,,V,V,V,V,V,,V,V,V,V,,V,V,V,V,,,,V,,23
6760632b8273ca1f01cfdf58,PMI Metro Lakes,Mid-Market,pro,Tove May,,true,V,,V,V,,V,V,V,,V,,V,,V,V,V,,V,,V,V,V,V,,V,V,V,V,V,V,,,,22
